id,smiles,notes,params_json
3612950,CCOC1=CC2=C(C=C1)N=C(S2)C(=O)N3CCN(CC3)C,,
3613666,CCC(=O)NC1=NC(=CS1)C,,
3614103,CCOC(=O)C1=CN=C(S1)Br,,
3615085,C1C=CCC2C1C(=O)N(C2=O)CC(=O)NC3=NC(=CS3)C4=CC(=C(C=C4)F)F,,
3616243,CC1CCC2=C(C1)SC=C2C(=O)NC3=NC=CS3,,
3617877,CC1=CC(=CC2=C1N=C(S2)NC(=O)C3=CC=CO3)Cl,,
3618434,CCOC(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC4=C(CCCC4)C=C3,,
3619040,CCCCOC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=C(S3)SCC4=C(C(=C(C=C4C)C)C(=O)C)C,,
3619312,CCC1=C(N=C(S1)NC(=O)CCC(=O)O)C2=CC3=CC=CC=C3OC2=O,,
3619449,CC1=CC=C(C=C1)NC2=NC(=C(S2)C=O)Cl,,
3619463,CCOC1=CC2=C(C=C1)N=C(S2)N3C(C(=C(C3=O)O)C(=O)C4=CC=CS4)C5=CC=C(C=C5)C,,
3620728,COC1=CC=C(C=C1)C(=O)NC(=S)NC2=NC3=C(S2)C=C(C=C3)OC,,
3621326,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NC(=C(S3)C(=O)C4=CC=CC=C4)C5=CC=CC=C5,,
3621388,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=C(S3)SCC4=CC=CC5=CC=CC=C54,,
3622285,CC(=O)N1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C5=CC(=CC=C5)F,,
3623277,CCOC(=O)N1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C5CC5,,
3624109,CC1=CC=C(C=C1)OCC2=NN=C(O2)SCC(=O)NC3=NC=C(S3)C,,
3624739,CC1=CC(=C2C(=C1)SC(=N2)NC(=O)C3=CC(=CC=C3)S(=O)(=O)N4CCC5=CC=CC=C54)C,,
3625091,CC(=O)NC1=NC2=C(S1)C=CC(=C2)Br,,
3625717,CCCCOC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=C(S3)SC(C)C(=O)NC4=C(C=C(C=C4C)C)C,,
3625807,CC1=CC2=C(C=C1)SC(=N2)C3=CC=C(C=C3)N4C(=O)C5CC=CCC5C4=O,,
3625975,CC1=C2C(=CC(=O)N1CCN3CCOCC3)N(N(C2=O)C4=NC5=CC=CC=C5S4)CC(=O)NC6=CC=C(C=C6)OC,,
3627753,C1=CC=C(C(=C1)C=C(C2=NC3=CC=CC=C3S2)C4=NC5=CC=CC=C5S4)OC(F)F,,
3627806,CC(C)C1=CC2=C(C=C1)N=C(S2)NC(C(=O)OC)(C(F)(F)F)NC(=O)C3=C(C=C(C=C3)Cl)Cl,,
3627974,COC1=C(C=CC(=C1)C=C(C2=NC3=CC=CC=C3S2)C4=NC5=CC=CC=C5S4)O,,
3628049,CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,,
3628152,CCC1=CC=C(C=C1)N2C(=O)CC(C2=O)NNC3=NC4=CC=CC=C4S3,,
3628988,C1C(OC2=CC=CC=C2O1)C(=O)NC3=NC4=C(C=C(C=C4S3)F)F,,
3629584,C1C(=O)N(C(S1)C2=CC(=C(C=C2)Cl)Cl)C3=NC=CS3,,
3630160,COC1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC4=CC=CC=C4S3)C=NCC5=CC=CO5,,
3631138,C1=CC=C(C=C1)N2C(=NN=N2)SCC(=O)NC3=CC4=C(C=C3)N=C(S4)SCC(=O)NC5=CC=C(C=C5)F,,
3633510,CC(C(=O)NC1=NC2=C(S1)C=C(C=C2)S(=O)(=O)N)OC3=CC=CC=C3,,
3634636,CC1=CC(=C2C(=C1)SC(=N2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCC4)C,,
3636324,CC(C(=O)NC1=CC=C(C=C1)NC(=O)C)OC(=O)CCC2=NC3=CC=CC=C3S2,,
3636440,CN(C)S(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3=C(C=CC=C3F)F,,
3636449,CC1CC(CN(C1)C(C2=CC(=C(C(=C2)OC)OC)OC)C3=C(N4C(=NC(=N4)C)S3)O)C,,
3636450,CC1=NN2C(=C(SC2=N1)C(C3=CC(=C(C(=C3)OC)OC)OC)N4CCOCC4)O,,
3636451,CC1CN(CC(O1)C)C(C2=CC(=C(C(=C2)OC)OC)OC)C3=C(N4C(=NC(=N4)C)S3)O,,
3636712,CC1=NN2C(=C(SC2=N1)C(C3=CC(=C(C(=C3)OC)OC)OC)N4CCN(CC4)C5=CC=CC=C5)O,,
3638258,CC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)C4=CC(=O)C5=CC=CC=C5O4,,
3639000,CCOC1=CC2=C(C=C1)N=C(S2)N=CC3=C(OC(=N3)C4=CC=CC=C4)O,,
3639179,CC1=C2C(=CC=C1)SC(=N2)NC(C(=O)OC)(C(F)(F)F)NC(=O)C3=CC=CC=C3C,,
3639226,CC1=CC(=C(C(=C1CSC2=NC3=C(S2)C=C(C=C3)NC(=O)C4=CC=CC5=CC=CC=C54)C)C(=O)C)C,,
3640297,C1=CC=NC(=C1)SCC(=O)NC2=CC3=C(C=C2)N=C(S3)SCC(=O)NC4=CC=C(C=C4)F,,
3641052,CCN1C(=O)C(=C(C(=N1)[N+](=O)[O-])C(C#N)C2=NC3=CC=CC=C3S2)Cl,,
3641692,CCOC(=O)C1=C(SC(=N1)NCC2=CC=CC=C2)C,,
3641742,C1CC2=CC3=C(C4=CC=CC1=C24)N=C(S3)NC(=O)C5=CC=CO5,,
3641814,CC1=CC2=C(C=C1)N=C(S2)NC(=S)SSC(=S)NC3=NC4=C(S3)C=C(C=C4)C,,
3642640,CC1=CC=C(C=C1)C(=O)NC(=S)NC2=C(C3=C(S2)CCCC3)C4=NC5=CC=CC=C5S4,,
3643063,CNC1=NC2=C(S1)C3=C(C(C(=C(O3)N)C#N)C4=CC(=CC=C4)F)C(=O)N2,,
3643686,C1=CC=C2C(=C1)N=C(S2)C(C=O)C#N,,
3644537,C1=CC2=C(C(=C(C=C2)C(C3=CC=C(C=C3)F)NC4=NC=CS4)O)N=C1,,
3644804,COC1=CC2=C(C=C1)C=C(C(=O)O2)C3=CN4C5=C(C=C(C=C5)F)SC4=N3,,
3645201,COC(=O)C1=C(NC(=O)NC1C2=CC=C(C=C2)F)CSC3=NC4=CC=CC=C4S3,,
3646039,CSC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)C4=CC(=CC=C4)Br,,
3646055,CC1CCC2=C(C1)SC(=N2)NS(=O)(=O)C3=CC=CC=C3,,
3646812,C1=CC=C2C(=C1)C=CC=C2C(=O)NC3=NC=C(S3)S(=O)(=O)C4=CC=C(C=C4)[N+](=O)[O-],,
3646858,C1=CC2=C(C=C1C(=O)NC3=NC(=CS3)C4=CC(=CS4)[N+](=O)[O-])SC=N2,,
3647123,COC1=CC=C(C=C1)CN=CC2C(=NN(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,,
3649290,C1=CSC(=N1)NC(=O)CC(=O)NN,,
3649987,CC1=NC2=C(S1)C=CC3=C2SC(=N3)NC(=O)C4=CC(=CC=C4)OC5=CC=CC=C5,,
3650443,CC(C)C1=CC2=C(C=C1)N=C(S2)NC(C(=O)OC)(C(F)(F)F)NC(=O)C,,
3650445,CC1=C(C2=C(C=C1)SC(=N2)NC(C(=O)OC)(C(F)(F)F)NC(=O)C)C,,
